         311450535 function calls (311430752 primitive calls) in 153.302 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 44100564   32.995    0.000   67.924    0.000 SeqRecord.py:341(__getitem__)
    29838   30.022    0.001   36.763    0.001 modes.py:28(trim)
    39128   28.094    0.001  112.807    0.003 {method 'join' of 'str' objects}
 44100564   17.471    0.000   21.636    0.000 Seq.py:311(__getitem__)
 44130402   16.789    0.000   84.712    0.000 __init__.py:828(<genexpr>)
 88223308   15.503    0.000   15.503    0.000 SeqRecord.py:336(<lambda>)
 88393626    8.642    0.000    8.642    0.000 {built-in method builtins.isinstance}
    40536    0.822    0.000    0.822    0.000 {method 'replace' of 'str' objects}
    29838    0.417    0.000   92.146    0.003 __init__.py:693(__getitem__)
     1479    0.402    0.000    0.694    0.000 FastaIO.py:27(SimpleFastaParser)
   151224    0.394    0.000    0.394    0.000 {method 'count' of 'str' objects}
    29838    0.217    0.000    1.260    0.000 helpers.py:48(count_characters_at_position)
    29838    0.188    0.000   92.528    0.003 helpers.py:20(get_sequence_at_position_and_report_features)
        1    0.175    0.175  152.149  152.149 helpers.py:188(keep_trim_and_log)
    29838    0.152    0.000    0.213    0.000 helpers.py:69(determine_if_parsimony_informative)
   743356    0.098    0.000    0.098    0.000 {method 'rstrip' of 'str' objects}
        1    0.096    0.096   21.195   21.195 helpers.py:118(join_keepD_and_trimD)
   802063    0.086    0.000    0.086    0.000 {method 'append' of 'list' objects}
    29838    0.083    0.000    0.083    0.000 modes.py:20(shouldKeep)
    29876    0.071    0.000    0.071    0.000 {method 'upper' of 'str' objects}
    95615    0.045    0.000    0.045    0.000 helpers.py:82(<genexpr>)
127295/111835    0.044    0.000    0.052    0.000 {built-in method builtins.len}
      224    0.029    0.000    0.029    0.000 {built-in method marshal.loads}
    41/40    0.028    0.001    0.028    0.001 {built-in method _imp.create_dynamic}
      320    0.027    0.000    0.027    0.000 {built-in method builtins.compile}
    29841    0.024    0.000    0.033    0.000 __init__.py:351(__iter__)
      161    0.024    0.000    0.040    0.000 CodonTable.py:261(list_ambiguous_codons)
     1478    0.021    0.000    0.032    0.000 FastaIO.py:359(as_fasta)
     2956    0.015    0.000    0.023    0.000 SeqRecord.py:159(__init__)
     1194    0.014    0.000    0.014    0.000 {built-in method posix.stat}
  675/672    0.013    0.000    0.027    0.000 {built-in method builtins.__build_class__}
      232    0.012    0.000    0.012    0.000 {built-in method io.open_code}
      232    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
     5479    0.010    0.000    0.010    0.000 {built-in method _codecs.utf_8_decode}
        1    0.010    0.010  152.972  152.972 clipkit.py:75(main)
    30912    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
    29844    0.009    0.000    0.009    0.000 {built-in method builtins.iter}
     2957    0.008    0.000    0.008    0.000 {built-in method numpy.empty}
     5479    0.007    0.000    0.016    0.000 codecs.py:319(decode)
     1479    0.006    0.000    0.718    0.000 FastaIO.py:138(FastaIterator)
     2956    0.006    0.000    0.031    0.000 __init__.py:581(_append)
     2956    0.006    0.000    0.014    0.000 __init__.py:427(_check_type_compatible)
