         391581 function calls (387975 primitive calls) in 0.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.027    0.027    0.084    0.084 helpers.py:42(keep_trim_and_log)
      161    0.017    0.000    0.032    0.000 CodonTable.py:261(list_ambiguous_codons)
    25404    0.014    0.000    0.028    0.000 SeqRecord.py:341(__getitem__)
      132    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
    27521    0.008    0.000    0.036    0.000 __init__.py:828(<genexpr>)
    22/21    0.008    0.000    0.008    0.000 {built-in method _imp.create_dynamic}
  439/437    0.007    0.000    0.012    0.000 {built-in method builtins.__build_class__}
    25404    0.007    0.000    0.009    0.000 Seq.py:311(__getitem__)
    67801    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    50985    0.006    0.000    0.006    0.000 SeqRecord.py:336(<lambda>)
     4436    0.005    0.000    0.005    0.000 CodonTable.py:307(<listcomp>)
     4126    0.005    0.000    0.041    0.000 {method 'join' of 'str' objects}
   258/54    0.004    0.000    0.013    0.000 sre_parse.py:469(_parse)
    50406    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     2117    0.004    0.000    0.045    0.000 __init__.py:693(__getitem__)
      679    0.003    0.000    0.003    0.000 {built-in method posix.stat}
   578/46    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
      305    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       16    0.002    0.000    0.005    0.000 enum.py:135(__new__)
     9786    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
      656    0.002    0.000    0.003    0.000 CodonTable.py:282(<genexpr>)
       78    0.002    0.000    0.002    0.000 CodonTable.py:356(__init__)
      687    0.002    0.000    0.003    0.000 CodonTable.py:290(<genexpr>)
      445    0.002    0.000    0.003    0.000 CodonTable.py:286(<genexpr>)
13685/12968    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     4011    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      132    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     2802    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
  695/165    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
      132    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
     5325    0.001    0.000    0.001    0.000 helpers.py:99(<genexpr>)
     1589    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       26    0.001    0.000    0.037    0.001 CodonTable.py:473(register_ncbi_table)
      261    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
      132    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      561    0.001    0.000    0.010    0.000 {built-in method builtins.sorted}
     1589    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     4017    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      158    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     2232    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
    143/1    0.001    0.000    0.218    0.218 {built-in method builtins.exec}
      264    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     2628    0.001    0.000    0.001    0.000 CodonTable.py:288(<setcomp>)
     2264    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
     7884    0.001    0.000    0.001    0.000 {method 'issuperset' of 'set' objects}
     2628    0.001    0.000    0.001    0.000 CodonTable.py:292(<setcomp>)
     2628    0.001    0.000    0.001    0.000 CodonTable.py:284(<setcomp>)
     1306    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
    161/1    0.001    0.000    0.131    0.131 <frozen importlib._bootstrap>:978(_find_and_load)
      291    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7fdc31e83b40}
   182/46    0.001    0.000    0.013    0.000 sre_parse.py:411(_parse_sub)
      270    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      156    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     2120    0.001    0.000    0.001    0.000 __init__.py:351(__iter__)
      156    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     4963    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1703    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    156/2    0.001    0.000    0.131    0.066 <frozen importlib._bootstrap>:663(_load_unlocked)
      191    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      342    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
       78    0.001    0.000    0.001    0.000 CodonTable.py:151(make_back_table)
     1689    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    161/1    0.000    0.000    0.131    0.131 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       19    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       56    0.000    0.000    0.023    0.000 re.py:271(_compile)
        9    0.000    0.000    0.001    0.000 __init__.py:316(namedtuple)
     3468    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       13    0.000    0.000    0.002    0.000 enum.py:654(<listcomp>)
     2123    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      332    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
     1287    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      261    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
     1284    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      132    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     2277    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       16    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
